Provider,State,Weight,Technology,Download Bandwidth Mbps,Upload Bandwidth Mbps,Usage Allowance GB,Monthly Charge,Other Mandatory Charge,Surcharge,Total Charge,Total Charge Spread,Model Data
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Google Fiber Alabama, LLC",ALABAMA,8580.225,Fiber,1000,1000,Inf,70,1.4,0,71.4,0,Yes
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"T-Mobile USA, Inc.",ALABAMA,3544.66875,Fixed wireless,2,0.2,200,102.5,0,1.4,103.9,5,Yes
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"T-Mobile USA, Inc.",ALABAMA,3544.66875,Fixed wireless,2,0.2,150,77.5,0,1.4,78.9,5,Yes
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Google Fiber Alabama, LLC",ALABAMA,8580.225,Fiber,1000,1000,Inf,70,1.4,0,71.4,0,Yes
"Google Fiber Alabama, LLC",ALABAMA,8580.225,Fiber,2000,1000,Inf,100,2,0,102,0,Yes
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"T-Mobile USA, Inc.",ALABAMA,2363.1125,Fixed wireless,2,0.2,100,52.5,0,1.4,53.9,5,Yes
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,500,50,Inf,59.95,0,1,60.95,0,Yes
"Knology of Alabama, Inc.",ALABAMA,10304.175,Fiber,1000,1000,Inf,99,0,1,100,0,Yes
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
GCI Communication Corp.,ALASKA,1011.748571,Cable,500,20,600,109.99,0,0,109.99,0,Yes
GCI Communication Corp.,ALASKA,1011.748571,Cable,1000,40,1000,159.99,0,0,159.99,0,Yes
GCI Communication Corp.,ALASKA,646.6742857,Cable,1000,40,1000,159.99,0,0,159.99,0,Yes
GCI Communication Corp.,ALASKA,985.6,Cable,1000,40,1000,159.99,0,0,159.99,0,Yes
GCI Communication Corp.,ALASKA,1318.491429,Cable,1000,40,1000,159.99,0,0,159.99,0,Yes
GCI Communication Corp.,ALASKA,1011.748571,Cable,2500,75,Inf,184.99,0,0,184.99,0,Yes
GCI Communication Corp.,ALASKA,2398.628571,Cable,1000,40,1000,159.99,0,0,159.99,0,Yes
GCI Communication Corp.,ALASKA,646.6742857,Cable,2500,75,Inf,184.99,0,0,184.99,0,Yes
GCI Communication Corp.,ALASKA,722.1028571,Cable,500,20,600,109.99,0,0,109.99,0,Yes
GCI Communication Corp.,ALASKA,722.1028571,Cable,2500,75,Inf,184.99,0,0,184.99,0,Yes
GCI Communication Corp.,ALASKA,367.0857143,Cable,1000,40,1000,159.99,0,0,159.99,0,Yes
GCI Communication Corp.,ALASKA,305.4857143,Cable,500,20,600,109.99,0,0,109.99,0,Yes
GCI Communication Corp.,ALASKA,1614.171429,Cable,2500,75,Inf,184.99,0,0,184.99,0,Yes
GCI Communication Corp.,ALASKA,985.6,Cable,2500,75,Inf,184.99,0,0,184.99,0,Yes
GCI Communication Corp.,ALASKA,367.0857143,Fiber,1000,40,1000,159.99,0,0,159.99,0,Yes
GCI Communication Corp.,ALASKA,1318.491429,Cable,500,20,600,109.99,0,0,109.99,0,Yes
GCI Communication Corp.,ALASKA,305.4857143,Fiber,500,20,600,109.99,0,0,109.99,0,Yes
GCI Communication Corp.,ALASKA,367.0857143,Cable,500,20,600,109.99,0,0,109.99,0,Yes
"Borealis Broadband, Inc.",ALASKA,4.022857143,Fixed wireless,200,200,1000,300,0,0,300,0,Yes
Matanuska Telecom Association Inc.,ALASKA,150.3542857,Fiber,1000,100,Inf,179.99,0,0,179.99,0,Yes
GCI Communication Corp.,ALASKA,985.6,Cable,500,20,600,109.99,0,0,109.99,0,Yes
GCI Communication Corp.,ALASKA,646.6742857,Cable,500,20,600,109.99,0,0,109.99,0,Yes
GCI Communication Corp.,ALASKA,2398.628571,Cable,2500,75,Inf,184.99,0,0,184.99,0,Yes
